
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
36.742446; 8.792091; 5.149310; -0.039156; -0.000669; 7.673654; 5.168639; 0.316278; 0.576148
36.942152; 8.800576; 5.348836; -0.039290; -0.000670; 7.806997; 5.164034; 0.322679; 0.568998
37.141858; 8.809067; 5.548361; -0.039421; -0.000638; 7.937985; 5.159433; 0.333795; 0.564428
37.341564; 8.817567; 5.747886; -0.039542; -0.000578; 8.066732; 5.154836; 0.344515; 0.563090
37.541270; 8.826075; 5.947411; -0.039649; -0.000495; 8.193344; 5.150243; 0.346513; 0.563723
37.740976; 8.834596; 6.146935; -0.039738; -0.000394; 8.317919; 5.145655; 0.345329; 0.564016
37.940682; 8.843131; 6.346458; -0.039805; -0.000280; 8.440547; 2.521829; 0.344170; 0.564284
38.140388; 8.851686; 6.545981; -0.039849; -0.000160; 8.500000; 0.000000; 0.343089; 0.564515
38.340094; 8.860265; 6.745502; -0.039869; -0.000037; 8.500000; 0.000000; 0.342447; 0.565271
38.539800; 8.868870; 6.945023; -0.039864; 0.000081; 8.500000; 0.000000; 0.343725; 0.569966
38.739506; 8.877508; 7.144542; -0.039837; 0.000190; 8.500000; 0.000000; 0.344693; 0.579643
38.939211; 8.886180; 7.344059; -0.039790; 0.000285; 8.500000; 0.000000; 0.342239; 0.589698
39.138917; 8.894892; 7.543575; -0.039725; 0.000360; 8.500000; 0.000000; 0.340048; 0.599484
39.338623; 8.903643; 7.743089; -0.039648; 0.000411; 8.500000; 0.000000; 0.338149; 0.608971
39.538329; 8.912437; 7.942602; -0.039564; 0.000434; 8.500000; 0.000000; 0.336562; 0.618138
39.738035; 8.921274; 8.142112; -0.039477; 0.000433; 8.500000; 0.000000; 0.335299; 0.626973
39.937741; 8.930152; 8.341620; -0.039393; 0.000410; 8.500000; 0.000000; 0.334363; 0.635471
40.137447; 8.939070; 8.541127; -0.039315; 0.000366; 8.500000; 0.000000; 0.333752; 0.643635
40.337153; 8.948026; 8.740632; -0.039248; 0.000303; 8.500000; 0.000000; 0.333455; 0.651470
40.536859; 8.957017; 8.940136; -0.039196; 0.000224; 8.500000; 0.000000; 0.333283; 0.658698
40.736565; 8.966038; 9.139638; -0.039160; 0.000132; 8.500000; 0.000000; 0.331473; 0.661737
40.936271; 8.975086; 9.339139; -0.039144; 0.000026; 8.500000; 0.000000; 0.326103; 0.650888
41.135977; 8.984156; 9.538638; -0.039151; -0.000092; 8.500000; 0.000000; 0.319329; 0.627053
41.335683; 8.993243; 9.738138; -0.039182; -0.000217; 8.500000; 0.000000; 0.315911; 0.607248
